TYPE,TYPE_CLASS,LABEL_ID,CHANGE_INTERVAL,LAYER_NAME,DESCRIPTION_ID,HIDDEN,BASE_TYPE,CODE_LIST_TYPE,IS_QUICK_LINK,PROP_TBL_NAME,BASE_TBL_NAME,TAG_TBL_NAME,LAST_UPDT_USER,LAST_UPDT_DATE,VERSION,DB_ID,ROW_ID,STATUS,REV_GRP_ID
ANALYSIS_POINT,ITEM,TYPE.ANALYSIS_POINT,NULL,OG_STD,NULL,False,DOMAIN_BASE,NULL,NULL,ITEM_PROPERTY,NULL,NULL,NULL,2017-10-13 13:28:30.143,e112638416be4590a7d232e824f750dc,NULL,2dc2b6bda35f49b690c11927e4b9b854,NULL,NULL
BATTERY,ITEM,TYPE.BATTERY,NULL,OG_STD,NULL,False,DOMAIN_BASE,NULL,NULL,ITEM_PROPERTY,NULL,NULL,NULL,2017-10-13 13:28:30.143,aa62699623f24ab98ffe9cf9dab9dba3,NULL,5b5352a3d3a044e1b650868ccd83db66,NULL,NULL
BORE,ITEM,TYPE.BORE,NULL,OG_STD,NULL,False,DOMAIN_BASE,NULL,NULL,ITEM_PROPERTY,NULL,NULL,NULL,2017-10-13 13:28:30.143,ddcfaa136e3c4cfab8c2aa44bedbdd4b,NULL,3d6d889cc4fc46f0b8bd28a65aed948a,NULL,NULL
CHEM_INJ_POINT,ITEM,TYPE.CHEM_INJ_POINT,NULL,OG_STD,NULL,False,DOMAIN_BASE,NULL,NULL,ITEM_PROPERTY,NULL,NULL,NULL,2017-10-13 13:28:30.143,fa381fd1f2ca40d5841ae34625616748,NULL,5cd916b78f89458680e51a9667a93c1f,NULL,NULL
CHEMICAL,ITEM,TYPE.CHEMICAL,NULL,OG_STD,NULL,False,DOMAIN_BASE,NULL,NULL,ITEM_PROPERTY,NULL,NULL,NULL,2017-10-13 13:28:30.143,0b0cb4bf2e9543c3b6d7151a874f1d15,NULL,69d44f70e35c44309eabaa80374a55e8,NULL,NULL
COMPANY,ITEM,TYPE.COMPANY,NULL,OG_STD,NULL,False,DOMAIN_BASE,NULL,NULL,ITEM_PROPERTY,NULL,NULL,NULL,2017-10-13 13:28:30.143,c254d4903e3f4df0af577998680cb00e,NULL,3621a0569bae4a43a0cb594e9440e242,NULL,NULL
COMPLETION,ITEM,TYPE.COMPLETION,NULL,OG_STD,NULL,False,DOMAIN_BASE,NULL,NULL,ITEM_PROPERTY,NULL,NULL,NULL,2017-10-13 13:28:30.143,de9aa6f7b44d4633a4f8dc892b414346,NULL,29bb60b76d41423bbdb4ca4b6e3fe740,NULL,NULL
COMPRESSOR,ITEM,TYPE.COMPRESSOR,NULL,OG_STD,NULL,False,EQUIP_BASE,NULL,NULL,ITEM_PROPERTY,NULL,NULL,NULL,2017-10-13 13:28:30.143,2cc3a68bf5704e47a86c06476858f0eb,NULL,6526f7f3f5dd4c5a833054bcc43a88c1,NULL,NULL
CONTACT,ITEM,TYPE.CONTACT,NULL,OG_STD,NULL,False,NULL,NULL,NULL,ITEM_PROPERTY,NULL,NULL,NULL,2017-10-13 13:28:30.143,dd96a1633d744c00ab7ffb7a86e77008,NULL,1f3fbd4c556841838d9b6811e902faa2,NULL,NULL
COUNTER_METER,ITEM,TYPE.COUNTER_METER,NULL,OG_STD,NULL,False,EQUIP_BASE,NULL,NULL,ITEM_PROPERTY,NULL,NULL,NULL,2017-10-13 13:28:30.143,53ce47f18aa141899bb6b6c26b81a907,NULL,50263011023e41048b467a87f57d41d1,NULL,NULL
DEVN_SURVEY,ITEM,TYPE.DEVN_SURVEY,FIXED,OG_STD,NULL,False,DOMAIN_BASE,NULL,NULL,ITEM_PROPERTY,NULL,NULL,NULL,2017-10-13 13:28:30.143,84afde226e194ef79704a1e4c80f0d24,NULL,2f3a5cd5af0e46bbb563510616b1e368,NULL,NULL
DIST_TEMP_SENS,ITEM,TYPE.DIST_TEMP_SENS,FIXED,OG_STD,NULL,False,DOMAIN_BASE,NULL,NULL,ITEM_PROPERTY,NULL,NULL,NULL,2017-10-13 13:28:30.143,217bb5411b5d4c8187b2989f8a5b5840,NULL,7c3495488ee642ea8b9028b9324e6d91,NULL,NULL
ELECTR_METER,ITEM,TYPE.ELECTR_METER,NULL,OG_STD,NULL,False,EQUIP_BASE,NULL,NULL,ITEM_PROPERTY,NULL,NULL,NULL,2017-10-13 13:28:30.143,03d33a19b7f94bc5b21f0a3b466faaa8,NULL,ba15a6ebd99c4db48ab7402f380dd7aa,NULL,NULL
ENGINE,ITEM,TYPE.ENGINE,NULL,OG_STD,NULL,False,EQUIP_BASE,NULL,NULL,ITEM_PROPERTY,NULL,NULL,NULL,2017-10-13 13:28:30.143,f846eff95bf44543823d29af4d50d3d4,NULL,b161a3c852ac4122b3c60f9127457d7a,NULL,NULL
EQUIP_BASE,ITEM,TYPE.EQUIP_BASE,NULL,OG_STD,NULL,False,DOMAIN_BASE,NULL,NULL,ITEM_PROPERTY,NULL,NULL,NULL,2017-10-13 13:28:30.143,0310a4e8ad664bb29e93893f742b9490,NULL,5c4c32ba801d46018e8b80962dbfa55c,NULL,NULL
EQUIPMENT,ITEM,TYPE.EQUIPMENT,NULL,OG_STD,NULL,False,EQUIP_BASE,NULL,NULL,ITEM_PROPERTY,NULL,NULL,NULL,2017-10-13 13:28:30.143,83ce557e468b48fe924c03e06775714d,NULL,594fc5bcab1d4d5c8c9ed142e25a4a34,NULL,NULL
EXCHANGER,ITEM,TYPE.EXCHANGER,NULL,OG_STD,NULL,False,NULL,NULL,NULL,ITEM_PROPERTY,NULL,NULL,NULL,2017-10-13 13:28:30.143,c019e0eccf444d05a450d4459c75a5ae,NULL,95c8053e4a0b441393fbafb122e6bf71,NULL,NULL
FILTER,ITEM,TYPE.FILTER,NULL,OG_STD,NULL,False,NULL,NULL,NULL,ITEM_PROPERTY,NULL,NULL,NULL,2017-10-13 13:28:30.143,f8dc4425f26940518d6fd997fe104e53,NULL,4c055e41a5dc4f8d8fe3f0a2793f5887,NULL,NULL
FORMATION,ITEM,TYPE.FORMATION,FIXED,OG_STD,NULL,False,DOMAIN_BASE,NULL,NULL,ITEM_PROPERTY,NULL,NULL,NULL,2017-10-13 13:28:30.143,dec18c9c1e3a4edc9a5fb91ef0d10156,NULL,1b49fc2314734cd6b2aa68aae12ca4e7,NULL,NULL
GAS_METER,ITEM,TYPE.GAS_METER,NULL,OG_STD,NULL,False,DOMAIN_BASE,NULL,NULL,ITEM_PROPERTY,NULL,NULL,NULL,2017-10-13 13:28:30.143,1eddb7d1b052480aab7bc89a571b8dbd,NULL,5fba2dae5780465b937f49e0ea054c28,NULL,NULL
GEO_UNIT1,ITEM,TYPE.GEO_UNIT1,NULL,OG_STD,NULL,False,DOMAIN_BASE,NULL,NULL,ITEM_PROPERTY,NULL,NULL,NULL,2017-10-13 13:28:30.143,0fcbdd1d87684d6d95b6bc7c5bfd6634,NULL,79e91cfa1e4c499bb3b3657780f43772,NULL,NULL
GEO_UNIT2,ITEM,TYPE.GEO_UNIT2,NULL,OG_STD,NULL,False,DOMAIN_BASE,NULL,NULL,ITEM_PROPERTY,NULL,NULL,NULL,2017-10-13 13:28:30.143,6e7294482919448ba6804478017abb47,NULL,970911fa9d4342a2b72c16a53b526152,NULL,NULL
GEO_UNIT3,ITEM,TYPE.GEO_UNIT3,NULL,OG_STD,NULL,False,DOMAIN_BASE,NULL,NULL,ITEM_PROPERTY,NULL,NULL,NULL,2017-10-13 13:28:30.143,0498114e346d44d9916688e35c6e3416,NULL,b8331c780fa7450ea0bef8869777f543,NULL,NULL
GEO_ZONE,ITEM,TYPE.GEO_ZONE,FIXED,OG_STD,NULL,False,DOMAIN_BASE,NULL,NULL,ITEM_PROPERTY,NULL,NULL,NULL,2017-10-13 13:28:30.143,5e85fe5bfb944e35859a283662f25171,NULL,8a42ebd2cee94642af3adf2f0b81e8b0,NULL,NULL
HEATER,ITEM,TYPE.HEATER,NULL,OG_STD,NULL,NULL,EQUIP_BASE,NULL,NULL,ITEM_PROPERTY,NULL,NULL,NULL,2017-10-13 13:28:30.143,539e324decc640f48040e9131cbdfbc9,NULL,07d5b73cf1894849b7a89fbbfe337461,NULL,NULL
