TYPE,PROPERTY_NAME,PROP_GRP,PROP_GRP_PRNT,LABEL_ID,TABLE_NAME,COLUMN_NAME,PROPERTY_TYPE,PROPERTY_CLASS,UNICODE,CODE_LIST,CODE_LIST_FLTR,CODE_LIST_LVL,PARENT_CL_PROP,VALUE_FILTER,UI_EDIT_CLASS,SORT_ORDER,MANDATORY,HIDDEN,IS_KEY,LENGTH,DECIMALS,UOM,CHANGE_INTERVAL,DEFAULT_VALUE,LAYER_NAME,DESCRIPTION_ID,LAST_UPDT_USER,LAST_UPDT_DATE,VERSION,DB_ID,ROW_ID,STATUS,REV_GRP_ID,PROP_UNIQUE,ALLOW_MULTI_EDIT,DEF_ACCUM_FUNC
ANALYSIS_POINT,DESCRIPTION,NULL,NULL,TYPE.ANALYSIS_POINT.DESCRIPTION,NULL,PROPERTY_STRING,TEXT,NULL,True,NULL,NULL,NULL,NULL,NULL,NULL,2,False,False,False,NULL,NULL,NULL,NULL,NULL,OG_STD,NULL,NULL,2017-10-13 13:28:30.737,72eaf01a331544e6a511eaa2ca85104a,NULL,618fa1ea3ad447d0adb1227d94b260de,NULL,NULL,NULL,NULL,NULL
ANALYSIS_POINT,LAB_ID,NULL,NULL,TYPE.ANALYSIS_POINT.LAB_ID,NULL,PROPERTY_STRING,TEXT,NULL,True,NULL,NULL,NULL,NULL,NULL,NULL,3,False,False,False,NULL,NULL,NULL,NULL,NULL,OG_STD,NULL,NULL,2017-10-13 13:28:30.737,49fc49f4bc8d445c82fe50ff8bed671f,NULL,571846aeb1ca44159c824aa36bf4f3d2,NULL,NULL,NULL,NULL,NULL
ANALYSIS_POINT,STD_PRESS,NULL,NULL,TYPE.ANALYSIS_POINT.STD_PRESS,NULL,PROPERTY_VALUE,NUMBER,PRESSURE,False,NULL,NULL,NULL,NULL,NULL,NULL,4,False,False,False,NULL,NULL,NULL,NULL,NULL,OG_STD,NULL,NULL,2017-10-13 13:28:30.737,805b17009deb48ac9ea2ffa8af966442,NULL,002e9c91edbe451ea1a59c1531535007,NULL,NULL,NULL,NULL,NULL
ANALYSIS_POINT,STD_TEMP,NULL,NULL,TYPE.ANALYSIS_POINT.STD_TEMP,NULL,PROPERTY_VALUE,NUMBER,TEMPERATURE,False,NULL,NULL,NULL,NULL,NULL,NULL,5,False,False,False,NULL,NULL,NULL,NULL,NULL,OG_STD,NULL,NULL,2017-10-13 13:28:30.737,bf43e4d0911f4847b1bf1365027d7b23,NULL,500477f3e62942b4b2f2472014b52124,NULL,NULL,NULL,NULL,NULL
BATTERY,ACC_ID,Reference,NULL,TYPE.BATTERY.ACC_ID,NULL,PROPERTY_STRING,TEXT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,30,False,False,False,NULL,NULL,NULL,NULL,NULL,OG_STD,NULL,NULL,2017-10-13 13:28:30.737,25c31a80e3ab44b6ac25afd7faf53a97,NULL,cd6d585fd1fa46f690190a59f3f5c45f,NULL,NULL,NULL,NULL,NULL
BATTERY,ACCOUNTING_ID,NULL,NULL,TYPE.BATTERY.ACCOUNTING_ID,NULL,PROPERTY_STRING,TEXT,NULL,False,NULL,NULL,NULL,NULL,NULL,NULL,10,False,False,False,NULL,NULL,NULL,NULL,NULL,OG_STD,NULL,NULL,2017-10-13 13:28:30.737,6a5dd90b717845abb17df958763ec263,NULL,3a114cab630c412992fbf958a6922d97,NULL,NULL,NULL,NULL,NULL
BATTERY,CODE,NULL,NULL,TYPE.BATTERY.CODE,NULL,PROPERTY_STRING,TEXT,NULL,False,NULL,NULL,NULL,NULL,NULL,NULL,3,False,False,False,NULL,NULL,NULL,NULL,NULL,OG_STD,NULL,NULL,2017-10-13 13:28:30.737,5d4e22a3f5f84a20b5ac46d57ccd3107,NULL,8dadcb4196174176933de2d1bade4499,NULL,NULL,NULL,NULL,NULL
BATTERY,COUNTRY,Location,NULL,TYPE.BATTERY.COUNTRY,NULL,PROPERTY_STRING,CODE,NULL,NULL,COUNTRY,NULL,NULL,NULL,NULL,NULL,20,False,False,False,NULL,NULL,NULL,NULL,NULL,OG_STD,NULL,NULL,2017-10-13 13:28:30.737,fd60714ef1524e148e6c6dbf17be619c,NULL,a68bad1a435244c69c17e10d690e0b1f,NULL,NULL,NULL,NULL,NULL
BATTERY,COUNTY,Location,NULL,TYPE.BATTERY.COUNTY,NULL,PROPERTY_STRING,CODE,NULL,NULL,COUNTY,NULL,1,STATE,NULL,NULL,22,False,False,False,NULL,NULL,NULL,NULL,NULL,OG_STD,NULL,NULL,2017-10-13 13:28:30.737,24100e19415344989904b9f17267f05c,NULL,13b46627f28a4396b8a4814270ae9daa,NULL,NULL,NULL,NULL,NULL
BATTERY,DAY_START,Defaults,NULL,TYPE.BATTERY.DAY_START,NULL,PROPERTY_VALUE,NUMBER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,False,False,False,11.000000000000,2.000000000000,NULL,NULL,NULL,OG_STD,NULL,NULL,2017-10-13 13:28:30.737,d3e78d61d4c8498297b9d40243cc58ea,NULL,c1704b5abc3d4413a19270db4b45afdc,NULL,NULL,NULL,NULL,NULL
