CULTURE,ID,SHORT_LABEL,MOBILE_LABEL,LAYER_NAME,HIDDEN,LAST_UPDT_USER,LAST_UPDT_DATE,VERSION,DB_ID,ROW_ID,STATUS,REV_GRP_ID
en-US,TYPE.ACT_DAY,Actual Daily Quantity,NULL,STD,FALSE,NULL,27:52.1,07d1e9ee5ef34f02a464ff28c0ad5d10,NULL,f17d28cd19954e3eb42d7e885c0f35ef,NULL,NULL
ru-RU,TYPE.ACT_DAY,[ru-RU] Actual daily quantity,NULL,STD,FALSE,NULL,27:52.1,95a4b34eb16b41dfbfe045d8ffb6ba69,NULL,2b361673546648dcaf2908a676158d9c,NULL,NULL
ru-RU,TYPE.ACT_HR,[ru-RU] Actual Hourly Quantity,NULL,STD,FALSE,NULL,27:52.1,d30b611343224db1923a4f7f58c995ad,NULL,c11cd66cda654f87808053fa57916b90,NULL,NULL
en-US,TYPE.ACT_HR,Actual Hourly Quantity,NULL,STD,FALSE,NULL,27:52.1,e2803d707f1d46fe8dce9583d40b1f6e,NULL,6eeceb0c0f40401d89441a6f6790efca,NULL,NULL
en-US,TYPE.ACT_MTH,Actual Monthly Quantity,NULL,STD,FALSE,NULL,27:52.1,8a02165f379f44ea9bbb39ba1e1f8496,NULL,b191dab5b2a14b6e8aef496676ddf6b1,NULL,NULL
ru-RU,TYPE.ACT_MTH,[ru-RU] Actual monthly quantity,NULL,STD,FALSE,NULL,27:52.1,92e637a3423c4fc995ef127d16d7cd53,NULL,827c10a35e314463b02d9964b259121c,NULL,NULL
ru-RU,TYPE.ACT_PGM_ITEM,[ru-RU] Activity Program Targets,[ru-RU] Activity Program Targets,STD,FALSE,NULL,28:53.6,143cc56b16ed4d948177eed4377d980c,NULL,60b54967d65a49de9eb94945f328a4b9,NULL,NULL
en-US,TYPE.ACT_PGM_ITEM,Activity Program Targets,Activity Program Targets,STD,FALSE,NULL,28:53.6,d881ee9e7cd143d6928a06b539a8de6a,NULL,fcd15440e1bf433f9320ac974ec93b98,NULL,NULL
en-US,TYPE.ACT_PGM_ITEM.TARGET_DEPTH,Targeted Depth MD,Targeted Depth MD,STD,FALSE,NULL,28:53.6,23bd2f747e5348d3848c783d51fcdc72,NULL,3ec1524d10254091ad9838bb96476765,NULL,NULL
ru-RU,TYPE.ACT_PGM_ITEM.TARGET_DEPTH,[ru-RU] Targeted Depth MD,[ru-RU] Targeted Depth MD,STD,FALSE,NULL,28:53.6,02f78b1176dd4e3197e911791e53839e,NULL,9afdd0ce9abc40dc8ba7504074edc9a9,NULL,NULL
ru-RU,TYPE.ACTIVITY_PGM,План мероприятий,[ru-RU] Activity Program,STD,FALSE,SYSTEM,56:00.2,efaf3c108c54461890514b803274aa9e,NULL,c2c4279176224a77bdbbaf8b78beed38,NULL,NULL
en-US,TYPE.ACTIVITY_PGM,Activity Program,Activity Program,STD,FALSE,NULL,28:53.6,9afea3ec40d3460d9299c32a59d95585,NULL,3e5ea1ee1d184c7cba79fcced959cbfb,NULL,NULL
en-US,TYPE.ACTIVITY_PGM.AUTHORIZED_MD,Authorized MD,Authorized MD,STD,FALSE,NULL,28:53.6,f00e89fe93264fd4b0c4c4d8f132031c,NULL,d75e8083e374463c887527837beac6b4,NULL,NULL
ru-RU,TYPE.ACTIVITY_PGM.AUTHORIZED_MD,[ru-RU] Authorized MD,[ru-RU] Authorized MD,STD,FALSE,NULL,28:53.6,4eb1c981100749bfb28867683de337af,NULL,49fd8c6bc7f44f69b432a41fa3b80322,NULL,NULL
ru-RU,TYPE.ACTIVITY_PGM.AUTHORIZED_TVD,[ru-RU] Authorized TVD,[ru-RU] Authorized TVD,STD,FALSE,NULL,28:53.6,7f8dc98326d74d539eaa095a9b438a21,NULL,6e1d22ce1e7a43c0b16a13c88626c9eb,NULL,NULL
en-US,TYPE.ACTIVITY_PGM.AUTHORIZED_TVD,Authorized TVD,Authorized TVD,STD,FALSE,NULL,28:53.6,d1f3319258fb44b181d4a892a7a9168a,NULL,0964c207bf4140e6add071e8fda52e6e,NULL,NULL
en-US,TYPE.ACTIVITY_PGM.BUDGETED_MD,Budgeted MD,Budgeted MD,STD,FALSE,NULL,28:53.6,70d9e4b7d71c48d2a18df080fc2c35d5,NULL,42041c5068bc405897274c32b3e46144,NULL,NULL
ru-RU,TYPE.ACTIVITY_PGM.BUDGETED_MD,[ru-RU] Budgeted MD,[ru-RU] Budgeted MD,STD,FALSE,NULL,28:53.6,3841ba1cf8ef4a42886aadfbddc4a4aa,NULL,926e081c467b4d17bf83390fcda91d1a,NULL,NULL
ru-RU,TYPE.ACTIVITY_PGM.BUDGETED_TVD,[ru-RU] Budgeted TVD,[ru-RU] Budgeted TVD,STD,FALSE,NULL,28:53.6,137ef1792c604bed94cb89464bd9c111,NULL,99de8be7f2e2426fb7afd19b2284044b,NULL,NULL
en-US,TYPE.ACTIVITY_PGM.BUDGETED_TVD,Budgeted TVD,Budgeted TVD,STD,FALSE,NULL,28:53.6,f4ef32c54b48409d91651ef947b19417,NULL,10af8e13e6cd4d6ea4cae0ee514599ad,NULL,NULL
en-US,TYPE.ACTIVITY_PGM.CATEGORY,Program Category,Program Category,STD,FALSE,NULL,28:53.6,0ff2739ba3094293994f39b48c8adc22,NULL,16400cf2509544aaa06941c789685947,NULL,NULL
ru-RU,TYPE.ACTIVITY_PGM.CATEGORY,[ru-RU] Program Category,[ru-RU] Program Category,STD,FALSE,NULL,28:53.6,717b2b38e8084465b1ca3c748629ff0d,NULL,878f1fe00b2f44a8afc1c3caa5ca1b23,NULL,NULL
ru-RU,TYPE.ACTIVITY_PGM.COMMENTS,Комментарии,[ru-RU] Comments,STD,FALSE,SYSTEM,56:00.2,c12377a33c5e460faab867b4e87d72be,NULL,e81db06fbf7d43adb7646e50f4f930a1,NULL,NULL
en-US,TYPE.ACTIVITY_PGM.COMMENTS,Comments,Comments,STD,FALSE,NULL,28:53.6,0d168a1fed164b14942b30cde74f53b4,NULL,7c54f8c0f0d948899f6ab52a89401980,NULL,NULL
en-US,TYPE.ACTIVITY_PGM.COST_CATEGORY,Cost Category,Cost Category,STD,FALSE,NULL,28:53.6,a8ab60e92c9a491d93d0a462a3e0af92,NULL,334936729ee2418b97791ade281f3b03,NULL,NULL
ru-RU,TYPE.ACTIVITY_PGM.COST_CATEGORY,[ru-RU] Cost Category,[ru-RU] Cost Category,STD,FALSE,NULL,28:53.6,9e07c3c9d5fc4aeb9fd66b839fbdd8f0,NULL,8e829da47c214777a9db8755f20c6761,NULL,NULL
ru-RU,TYPE.ACTIVITY_PGM.COST_CURRENCY,[ru-RU] Cost Currency,[ru-RU] Cost Currency,STD,FALSE,NULL,28:53.6,0cbe363c37a9438bbf158990f524fb4a,NULL,53ac5daeaf524ee0bb6aff9a0853d07f,NULL,NULL
en-US,TYPE.ACTIVITY_PGM.COST_CURRENCY,Cost Currency,Cost Currency,STD,FALSE,NULL,28:53.6,b8c53a4a4711407a872da3f234b73882,NULL,f03dc6db025547129f3f239d6b502826,NULL,NULL
en-US,TYPE.ACTIVITY_PGM.COST_ESTIMATE,Cost Estimate,Cost Estimate,STD,FALSE,NULL,28:53.6,5c55375c072d42789a9b4092361f2aa7,NULL,07e6887f8f6446d6be6225b79b9dc5ce,NULL,NULL
