"ROLES_TYPES","CREATE","READ","UPDATE","DELETE","ROW_ID","ROLES_INFO"
"PROJECT",True,True,True,True,"03c2f230bf974265b1b09630d2fcdea2","Project"
"TAGS_MANAGER",False,False,False,False,"18e7de3382e8461185a461d1d618c962","Tags Manager"
"CODE_LIST",True,True,True,True,"199b564e8b0445b3b046efd07e0fc015","Code List"
"CONFIG",False,False,False,False,"21876071d3914ec48a3df7e972b76b79","Configuration"
"RESOURE_LIST",True,True,True,True,"28d4c4cc31664b0295f333243e3949d1","Resource List"
"CODE_LIST",False,False,False,False,"306719f1a52449a3964cfdd2e2865f6d","Code List"
"ROLES",True,True,True,True,"3a252a37b5e142a99257d35aa242372a","Roles"
"TAGS_CALCULATED",False,False,False,False,"451572bf5971408d9362b076462d8eff","Tags Calculated"
"WORKFLOWS",False,False,False,False,"4cab2449e98e4c699a5b218969834ed3","Workflows"
"RESOURE_LIST",False,False,False,False,"551b2b9602c04a0f8100cf3355b71ac6","Resource List"
"TYPES",True,True,True,True,"72acfb8a6705408d844cb1e35af42fe6","Types"
"TAGS_IMPORT",False,False,False,False,"7689c3dab7c74cb2ba5b0d2f56c54c6a","Tags Import"
"REPORT",False,False,False,False,"80bfc3d0f3854e73903d280a3bd8ead0","Report"
"TAGS_MANAGER",True,True,True,True,"874f9f00eb474162af1331064aeb7014","Tags Manager"
"ROLES",False,False,False,False,"93e89272c6454f58ba3b3934ff73dc00","Roles"
"USERS",False,False,False,False,"a071b2ea6bc545af8ee6652b352b5236","Users"
"TAGS_IMPORT",True,True,True,True,"ac18481f22894446a345f5eb4cbaebfa","Tags Import"
"REPORT",True,True,True,True,"b28161698bfd4189b3db2bfa33d232c2","Report"
"WORKFLOWS",True,True,True,True,"b6b313324c86452b886ef282376343f2","Workflows"
"PROJECT",False,False,False,False,"ca6c93bff51d4dd8be7d119f554d38e8","Project"
"TAGS_CALCULATED",True,True,True,True,"cac6f7c564824c2c8006f2b62ee25838","Tags Calculated"
"USERS",True,True,True,True,"cfbca567e00a4e34ab59b9abe77cb7d4","Users"
"TYPES",False,False,False,False,"e5e888ff3e76471786f09b81563eb964","Types"
"CONFIG",True,True,True,True,"e6d0e7000abf4fe7a69f90721037549c","Configuration"
