NAME,QUANTITY_TYPE,CATALOG_NAME,CATALOG_SYMBOL,RP66_SYMBOL,BASE_UNIT,A,B,C,D
percent,dimensionless,POSC,%,%,Euc,0,0.01,1,0
percent,area per area,POSC,%,pu,Euc,0,0.01,1,0
percent,volumic concentration,POSC,%,pu,Euc,0,0.01,1,0
percent,mass concentration,POSC,%,pu,Euc,0,0.01,1,0
percent,force per force,POSC,%,pu,Euc,0,0.01,1,0
percent,linear strain,POSC,%,pu,Euc,0,0.01,1,0
percent,relative elongation,POSC,%,pu,Euc,0,0.01,1,0
percent,relative power,POSC,%,pu,Euc,0,0.01,1,0
percent,length per length,POSC,%,pu,Euc,0,0.01,1,0
per annum,per time,POSC,1/a,1/a,1/s,0,1,31558150,0
per angstrom,per length,POSC,1/angstrom,1/a,1/m,0,10000000000,1,0
per angstrom,wave number,POSC,1/angstrom,1/a,1/m,0,10000000000,1,0
per bar,bulk compressibility,POSC,1/bar,1/bar,1/Pa,0,0.000001,1,0
per bar,compressibility,POSC,1/bar,1/bar,1/Pa,0,0.000001,1,0
per barrel,per volume,POSC,1/bbl,1/bbl,1/m3,0,1,0.1589873,0
per centimetre,per length,POSC,1/cm,1/cm,1/m,0,100,1,0
per centimetre,wave number,POSC,1/cm,1/cm,1/m,0,100,1,0
per day,per time,POSC,1/d,1/d,1/s,0,1,86400,0
per degree Celsius,volumetric thermal expansion,POSC,1/degC,1/degC,1/K,0,1,1,0
per degree Fahrenheit,volumetric thermal expansion,POSC,1/degF,1/degF,1/K,0,9,5,0
per degree Rankine,volumetric thermal expansion,POSC,1/degR,1/degR,1/K,0,9,5,0
per foot,per length,POSC,1/ft,1/ft,1/m,0,1,0.3048,0
per square foot,per area,POSC,1/ft2,1/ft2,1/m2,0,1,0.09290304,0
per cubic foot,per volume,POSC,1/ft3,1/ft3,1/m3,0,1,0.02831685,0
per gram,per mass,POSC,1/g,1/g,1/kg,0,1000,1,0
per UK gallon,per volume,POSC,1/galUK,1/galUK,1/m3,0,1,0.00456092,0
per US gallon,per volume,POSC,1/galUS,1/galUS,1/m3,0,1,0.003785412,0
per hour,per time,POSC,1/h,1/h,1/s,0,1,3600,0
per inch,per length,POSC,1/in,1/in,1/m,0,1,0.0254,0
per square kilometre,per area,POSC,1/km2,1/km2,1/m2,0,1,1000000,0
per kilopascal,bulk compressibility,POSC,1/kPa,1/kPa,1/Pa,0,0.001,1,0
per kilopascal,compressibility,POSC,1/kPa,1/kPa,1/Pa,0,0.001,1,0
per litre,per volume,POSC,1/L,1/L,1/m3,0,1000,1,0
per pound force,per force,POSC,1/lbf,1/lbf,1/N,0,1,4.448.222,0
per pound,per mass,POSC,1/lbm,1/lbm,1/kg,0,1,0.4535924,0
per mile,per length,POSC,1/mi,1/mi,1/m,0,1,1.609.344,0
per square mile,per area,POSC,1/mi2,1/mi2,1/m2,0,1,2589988.11,0
per minute,per time,POSC,1/min,1/min,1/s,0,1,60,0
per millimetre,per length,POSC,1/mm,1/mm,1/m,0,1000,1,0
per millimetre,wave number,POSC,1/mm,1/mm,1/m,0,1000,1,0
per nanometre,per length,POSC,1/nm,1/nm,1/m,0,1000000000,1,0
per nanometre,wave number,POSC,1/nm,1/nm,1/m,0,1000000000,1,0
per pico pascal,bulk compressibility,POSC,1/pPa,1/pPa,1/Pa,0,1E+12,1,0
per pico pascal,compressibility,POSC,1/pPa,1/pPa,1/Pa,0,1E+12,1,0
