NAME,QUANTITY_TYPE,CATALOG_NAME,CATALOG_SYMBOL,RP66_SYMBOL,BASE_UNIT
inverse henry,reluctance,POSC,1/H,1/H,Base Unit Description
per Kelvin,volumetric thermal expansion,POSC,1/K,1/K,Base Unit Description
per Kelvin,linear thermal expansion,POSC,1/K,1/K,Base Unit Description
per kilogram,per mass,POSC,1/kg,1/kg,Base Unit Description
per metre,per length,POSC,1/m,1/m,Base Unit Description
per metre,wave number,POSC,1/m,1/m,Base Unit Description
per square metre,per area,POSC,1/m2,1/m2,Base Unit Description
per cubic metre,per volume,POSC,1/m3,1/m3,Base Unit Description
per Newton,per force,POSC,1/N,1/N,Base Unit Description
per Pascal,bulk compressibility,POSC,1/Pa,1/Pa,Base Unit Description
per Pascal,compressibility,POSC,1/Pa,1/Pa,Base Unit Description
per second,per time,POSC,1/s,1/s,Base Unit Description
per second,operations per time,POSC,1/s,1/s,Base Unit Description
per second,frequency,POSC,1/s,1/s,Base Unit Description
per Volt,per electric potential,POSC,1/V,1/V,Base Unit Description
ampere,electric current,POSC,A,A,The ampere is that constant current which. if maintained in two straight parallel conductors of infinite length. of negligible circular cross section. and placed 1 metre apart in vacuum.would produce between these conductors a force equal to 2 x 10**-7 newton per metre of length.
ampere,magnetic potential difference,POSC,A,A,The ampere is that constant current which. if maintained in two straight parallel conductors of infinite length. of negligible circular cross section. and placed 1 metre apart in vacuum.would produce between these conductors a force equal to 2 x 10**-7 newton per metre of length.
ampere,magnetomotive force,POSC,A,A,The ampere is that constant current which. if maintained in two straight parallel conductors of infinite length. of negligible circular cross section. and placed 1 metre apart in vacuum.would produce between these conductors a force equal to 2 x 10**-7 newton per metre of length.
amperes metres squared,electromagnetic moment,POSC,A.m2,A.m2,The ampere is that constant current which. if maintained in two straight parallel conductors of infinite length. of negligible circular cross section. and placed 1 metre apart in vacuum.would produce between these conductors a force equal to 2 x 10**-7 newton per metre of length.
amperes/metre,linear electric current density,POSC,A/m,A/m,The ampere is that constant current which. if maintained in two straight parallel conductors of infinite length. of negligible circular cross section. and placed 1 metre apart in vacuum.would produce between these conductors a force equal to 2 x 10**-7 newton per metre of length.
amperes/metre,magnetic field strength,POSC,A/m,A/m,The ampere is that constant current which. if maintained in two straight parallel conductors of infinite length. of negligible circular cross section. and placed 1 metre apart in vacuum.would produce between these conductors a force equal to 2 x 10**-7 newton per metre of length.
amperes/metre,magnetization,POSC,A/m,A/m,The ampere is that constant current which. if maintained in two straight parallel conductors of infinite length. of negligible circular cross section. and placed 1 metre apart in vacuum.would produce between these conductors a force equal to 2 x 10**-7 newton per metre of length.
amperes/square metre,current density,POSC,A/m2,A/m2,The ampere is that constant current which. if maintained in two straight parallel conductors of infinite length. of negligible circular cross section. and placed 1 metre apart in vacuum.would produce between these conductors a force equal to 2 x 10**-7 newton per metre of length.
bel,level of power intensity,POSC,B,10 dB,A unit of intensity. A bel is the base 10 logarithm of a power or amplitude ratio. Some systems define a specific base value.
bels/metre,attenuation per length,POSC,B/m,10 dB/m,A unit of intensity. A bel is the base 10 logarithm of a power or amplitude ratio. Some systems define a specific base value.
bels/octave,attenuation,POSC,B/O,10 dB/m,The power or amplitude variation that occurs over a doubling of the domain variable.
baud,data transmission speed,POSC,Bd,1/s,A unit of transmission speed. equal to one bit per second. This unit is being deprecated in favor of bits per second (bps).
bits per second,data transmission speed,POSC,bps,1/s,A unit of transmission speed. equal to one bit per second.
becquerel,activity (of radioactivity),POSC,Bq,Bq,The activity of a radionuclide decaying at the rate of one spontaneous nuclear transition per second
becquerel per kilogram,specific activity (of radioactivity),POSC,Bq/kg,Bq/kg,The activity of a radionuclide decaying at the rate of one spontaneous nuclear transition per second
byte,digital storage,POSC,byte,Bq/kg,The capacity. in bytes. of a storage device or an information system.is one eighth of the base two logarithm of the number of possible states of the device or system.
coulomb,electric capacity,POSC,C,C,The time integral of electric current.equal to 1 A.s
coulomb,electric charge,POSC,C,C,The time integral of electric current.equal to 1 A.s
coulomb,electric flux,POSC,C,C,The time integral of electric current.equal to 1 A.s
coulomb metres,electric dipole moment,POSC,C.m,C.m,The time integral of electric current.equal to 1 A.s
coulomb per kilogram,exposure (radioactivity),POSC,C/kg,C/kg,The time integral of electric current.equal to 1 A.s
coulombs/square metre,electric polarization,POSC,C/m2,C/m2,The time integral of electric current.equal to 1 A.s
coulombs/cubic metre,charge density,POSC,C/m3,C/m3,The time integral of electric current.equal to 1 A.s
candela,luminous intensity,POSC,cd,cd,The candela is the luminous intensity. in a given direction.of a source that emits monochromatic radiation of frequency 540 X 10**12 hertz and that has a radian intensity in that direction of 1/683 watt per steradian.
candelas/square metre,luminance,POSC,cd/m2,cd/m2,The candela is the luminous intensity. in a given direction.of a source that emits monochromatic radiation of frequency 540 X 10**12 hertz and that has a radian intensity in that direction of 1/683 watt per steradian.
equivalent,electrochemical equivalent,POSC,eq,eq,The charge contained in one mole of electrons. The amount is equal to 96487 coulombs.
equivalent per kilogram,equivalent per mass,POSC,eq/kg,eq/kg,The charge contained in one mole of electrons. The amount is equal to 96487 coulombs.
equivalents per cubic metre,equivalent per volume,POSC,eq/m3,eq/m3,The charge contained in one mole of electrons. The amount is equal to 96487 coulombs.
euclid,dimensionless,POSC,Euc,100%,A base unit to describe all dimensionless values.such as ratios and factors.
euclid,volumic concentration,POSC,Euc,100%,A base unit to describe all dimensionless values.such as ratios and factors.
euclid,mass concentration,POSC,Euc,100%,A base unit to describe all dimensionless values.such as ratios and factors.
euclid,mass concentration,POSC,Euc,100%,A base unit to describe all dimensionless values.such as ratios and factors.
euclid,linear strain,POSC,Euc,100%,A base unit to describe all dimensionless values.such as ratios and factors.
euclid,shear strain,POSC,Euc,100%,A base unit to describe all dimensionless values.such as ratios and factors.
euclid,attenuation,POSC,Euc,100%,A base unit to describe all dimensionless values.such as ratios and factors.
euclid,poisson ratio,POSC,Euc,100%,A base unit to describe all dimensionless values.such as ratios and factors.
farad,capacitance,POSC,F,F,The capacitance of a capacitor between the plates of which there appears a difference of potential of 1 V when it is charged by a quantity of electricity equal to 1 C.
farads/metre,permittivity,POSC,F/m,F/m,The capacitance of a capacitor between the plates of which there appears a difference of potential of 1 V when it is charged by a quantity of electricity equal to 1 C.
gas unit,volumic concentration,POSC,gu,F/m,Can mean 1/50th per cent or 1/100th percent.depending on country.
API gamma ray units,gamma ray API unit,POSC,gAPI,gAPI,A unit defined by the American Petroleum Institute for gamma ray log measurements.
gray,absorbed dose,POSC,Gy,Gy,The absorbed dose when the energy per unit mass imparted to matter by ionizing radiation is 1 J/kg
henry,self inductance,POSC,H,H,The inductance of a closed circuit in which an electromotive force of 1 V is produced when the electric current in the circuit varies uniformly at a rate of 1 A/s.
henry,permeance,POSC,H,H,The inductance of a closed circuit in which an electromotive force of 1 V is produced when the electric current in the circuit varies uniformly at a rate of 1 A/s.
henries/metre,magnetic permeability,POSC,H/m,H/m,The inductance of a closed circuit in which an electromotive force of 1 V is produced when the electric current in the circuit varies uniformly at a rate of 1 A/s.
hertz,frequency,POSC,Hz,Hz,The frequency of a periodic phenomenon of which the period is 1 second.
joule,moment of force,POSC,J,J,The work done when the point of application of a force of 1 N is displaced a distance of 1 m in the direction of the force.
joule,moment of couple,POSC,J,J,The work done when the point of application of a force of 1 N is displaced a distance of 1 m in the direction of the force.
joule,torque,POSC,J,J,The work done when the point of application of a force of 1 N is displaced a distance of 1 m in the direction of the force.
joule,energy,POSC,J,J,The work done when the point of application of a force of 1 N is displaced a distance of 1 m in the direction of the force.
joule,work,POSC,J,J,The work done when the point of application of a force of 1 N is displaced a distance of 1 m in the direction of the force.
joules per delta kelvin,heat capacity,POSC,J/K,J/K,The work done when the point of application of a force of 1 N is displaced a distance of 1 m in the direction of the force.
joules/kilogram,specific energy,POSC,J/kg,J/kg,The work done when the point of application of a force of 1 N is displaced a distance of 1 m in the direction of the force.
joules/kilogram degree kelvin,specific heat capacity,POSC,J/kg.K,J/kg.K,The work done when the point of application of a force of 1 N is displaced a distance of 1 m in the direction of the force.
joules/kilogram degree kelvin,massic heat capacity,POSC,J/kg.K,J/kg.K,The work done when the point of application of a force of 1 N is displaced a distance of 1 m in the direction of the force.
joules/cubic metre,normal stress,POSC,J/m3,J/m3,The work done when the point of application of a force of 1 N is displaced a distance of 1 m in the direction of the force.
joules/cubic metre,shear stress,POSC,J/m3,J/m3,The work done when the point of application of a force of 1 N is displaced a distance of 1 m in the direction of the force.
joules/cubic metre,modulus of elasticity,POSC,J/m3,J/m3,The work done when the point of application of a force of 1 N is displaced a distance of 1 m in the direction of the force.
joules/cubic metre,shear modulus,POSC,J/m3,J/m3,The work done when the point of application of a force of 1 N is displaced a distance of 1 m in the direction of the force.
joules/cubic metre,modulus of rigidity,POSC,J/m3,J/m3,The work done when the point of application of a force of 1 N is displaced a distance of 1 m in the direction of the force.
joules/cubic metre,bulk modulus,POSC,J/m3,J/m3,The work done when the point of application of a force of 1 N is displaced a distance of 1 m in the direction of the force.
joules/cubic metre,modulus of compression,POSC,J/m3,J/m3,The work done when the point of application of a force of 1 N is displaced a distance of 1 m in the direction of the force.
joules/cubic metre,electromagnetic energy density,POSC,J/m3,J/m3,The work done when the point of application of a force of 1 N is displaced a distance of 1 m in the direction of the force.
joules/cubic metre,radiant energy density,POSC,J/m3,J/m3,The work done when the point of application of a force of 1 N is displaced a distance of 1 m in the direction of the force.
joules/mole,molar thermodynamic energy,POSC,J/mol,J/mol,The work done when the point of application of a force of 1 N is displaced a distance of 1 m in the direction of the force.
joules/mole,chemical potential,POSC,J/mol,J/mol,The work done when the point of application of a force of 1 N is displaced a distance of 1 m in the direction of the force.
joules/mole,affinity of a chemical reaction,POSC,J/mol,J/mol,The work done when the point of application of a force of 1 N is displaced a distance of 1 m in the direction of the force.
joules/mole degree kelvin,molar heat capacity,POSC,J/mol.K,J/mol.K,The work done when the point of application of a force of 1 N is displaced a distance of 1 m in the direction of the force.
joules/mole degree kelvin,molar entropy,POSC,J/mol.K,J/mol.K,The work done when the point of application of a force of 1 N is displaced a distance of 1 m in the direction of the force.
joules/mole degree kelvin,molar gas constant,POSC,J/mol.K,J/mol.K,The work done when the point of application of a force of 1 N is displaced a distance of 1 m in the direction of the force.
kelvin,thermodynamic temperature,POSC,K,K,The kelvin. unit of thermodynamic temperature.is the fraction 1/273.16 of the thermodynamic temperature of the triple point of water.
kelvin,delta temperature,POSC,K,K,The kelvin. unit of thermodynamic temperature.is the fraction 1/273.16 of the thermodynamic temperature of the triple point of water.
kelvin metres squared/watt,thermal insulance,POSC,K.m2/W,K.m2/W,The kelvin. unit of thermodynamic temperature.is the fraction 1/273.16 of the thermodynamic temperature of the triple point of water.
kelvin metres squared/watt,coefficient of thermal insulation,POSC,K.m2/W,K.m2/W,The kelvin. unit of thermodynamic temperature.is the fraction 1/273.16 of the thermodynamic temperature of the triple point of water.
degrees kelvin/metre,temperature per length,POSC,K/m,K/m,The kelvin. unit of thermodynamic temperature.is the fraction 1/273.16 of the thermodynamic temperature of the triple point of water.
kelvin per second,temperature per time,POSC,K/s,K/s,The kelvin. unit of thermodynamic temperature.is the fraction 1/273.16 of the thermodynamic temperature of the triple point of water.
delta kelvin per watt,thermal resistance,POSC,K/W,K/W,The kelvin. unit of thermodynamic temperature.is the fraction 1/273.16 of the thermodynamic temperature of the triple point of water.
kilogram,mass,POSC,kg,kg,"The kilogram is the unit of mass (not force), it is equal to the mass of the international prototype of the kilogram."
