date,TNS_0_DEVICE_0_TEMP_P1_B1,TNS_0_DEVICE_0_STATE_P1,TNS_0_DEVICE_0_TT1_P1_2,TNS_0_DEVICE_0_TEMP_P1_B2,TNS_0_DEVICE_0_VT1_P1_2,TNS_0_DEVICE_0_CURR_P1,TNS_0_DEVICE_0_PT1_P1_2,TNS_0_DEVICE_0_TEMP_P1_M3,TNS_0_DEVICE_3_PT1_P1_1,TNS_0_DEVICE_0_TEMP_P1_M2,TNS_0_DEVICE_0_TEMP_P1_M1
2021-04-28 14:00:00,26.85,0.0,67.97,26.85,4.84,0.0,4.5,-1.0761964e+16,0.0,22.79,49.55
2021-04-28 15:00:00,26.4,0.0,67.38,26.4,5.25,0.0,4.95,-1.213511e+16,0.0,22.41,52.61
2021-04-28 16:00:00,25.94,0.0,66.79,25.94,5.69,0.0,5.4,-1.3519714e+16,0.0,22.02,55.69
2021-04-28 17:00:00,26.13,0.0,67.08,26.13,5.5,0.0,5.21,-1.2948065e+16,0.0,22.18,54.42
2021-04-28 18:00:00,26.72,0.0,67.89,26.72,4.93,0.0,4.63,-1.1158971e+16,0.0,22.68,50.44
2021-04-28 19:00:00,27.38,0.0,68.81,27.38,4.27,0.0,3.98,-9163374000000000.0,0.0,23.24,46.0
2021-04-28 20:00:00,27.36,0.0,68.75,27.36,4.3,0.0,4.0,-9223371000000000.0,0.0,23.22,46.13
2021-04-28 21:00:00,29.04,0.0,70.94,29.04,2.58,0.0,2.35,-4138290600000000.0,0.0,24.64,34.81
2021-04-28 22:00:00,29.48,0.0,71.52,29.48,2.11,0.0,1.91,-2785188600000000.0,0.0,25.02,31.8
2021-04-28 23:00:00,29.76,0.0,71.85,29.76,1.84,0.0,1.43,-1931143500000000.0,0.0,25.26,29.9
2021-04-29 00:00:00,30.13,0.0,72.26,30.13,1.49,0.0,0.27,-816227600000000.0,0.0,25.57,27.42
2021-04-29 01:00:00,30.24,0.0,72.33,30.24,1.37,0.0,0.17,-500514600000000.0,0.0,25.66,26.71
2021-04-29 02:00:00,30.25,0.0,72.3,30.25,1.34,0.0,0.15,-442633320000000.0,0.0,25.68,26.59
2021-04-29 03:00:00,30.33,0.0,72.35,30.33,1.26,0.0,0.07,-220259630000000.0,0.0,25.74,26.09
2021-04-29 04:00:00,30.31,0.0,72.29,30.31,1.27,0.0,0.09,-275078210000000.0,0.0,25.72,26.21
2021-04-29 05:00:00,30.29,0.0,72.24,30.29,1.3,0.0,0.11,-330093840000000.0,0.0,25.71,26.33
2021-04-29 06:00:00,30.36,0.0,72.28,30.36,1.23,0.0,0.04,-109638890000000.0,0.0,25.77,25.84
2021-04-29 07:00:00,30.34,0.0,72.21,30.34,1.25,0.0,0.06,-191811040000000.0,0.0,25.75,26.03
2021-04-29 08:00:00,30.3,0.0,72.24,30.3,1.29,0.0,0.1,-304219180000000.0,0.0,25.71,26.28
2021-04-29 09:00:00,30.2,0.0,72.22,30.2,1.4,0.0,0.39,-616198560000000.0,0.0,25.63,26.97
2021-04-29 10:00:00,29.71,0.0,71.7,29.71,1.88,0.0,1.68,-2080459900000000.0,0.0,25.22,30.23
2021-04-29 11:00:00,29.08,0.0,70.94,29.08,2.54,0.0,2.3,-4001006000000000.0,0.0,24.68,34.51
2021-04-29 12:00:00,27.84,0.0,69.34,27.84,3.82,0.0,3.52,-7755292000000000.0,0.0,23.63,42.86
2021-04-29 13:00:00,27.21,0.0,68.55,27.21,4.46,0.0,4.15,-9684206000000000.0,0.0,23.09,47.16
2021-04-29 14:00:00,24.78,0.0,65.28,24.78,6.88,0.0,6.55,-1.7055384e+16,0.0,21.03,63.56
2021-04-29 15:00:00,25.74,0.0,66.63,25.74,5.77,0.0,5.6,-1.4138661e+16,0.0,21.85,57.07
2021-04-29 16:00:00,24.91,0.0,65.52,24.91,6.63,0.0,6.42,-1.6653831e+16,0.0,21.14,62.67
2021-04-29 17:00:00,24.71,0.0,65.25,24.71,6.94,0.0,6.61,-1.7253283e+16,0.0,20.97,64.0
2021-04-29 18:00:00,26.18,0.0,67.22,26.18,5.48,0.0,5.17,-1.280733e+16,0.0,22.22,54.11
2021-04-29 19:00:00,27.83,0.0,69.43,27.83,3.85,0.0,3.53,-7790335000000000.0,0.0,23.62,42.94
2021-04-29 20:00:00,28.04,0.0,69.68,28.04,3.6,0.0,3.33,-7167769500000000.0,0.0,23.8,41.55
2021-04-29 21:00:00,29.06,0.0,71.02,29.06,2.54,0.0,2.33,-4077953600000000.0,0.0,24.66,34.68
2021-04-29 22:00:00,29.66,0.0,71.79,29.66,1.97,0.0,1.73,-2242499600000000.0,0.0,25.17,30.59
2021-04-29 23:00:00,29.98,0.0,72.16,29.98,1.66,0.0,0.7,-1286184500000000.0,0.0,25.44,28.46
2021-04-30 00:00:00,30.02,0.0,72.16,30.02,1.59,0.0,0.39,-1161776400000000.0,0.0,25.48,28.19
2021-04-30 01:00:00,30.23,0.0,72.42,30.23,1.38,0.0,0.17,-503550760000000.0,0.0,25.66,26.72
2021-04-30 02:00:00,30.19,0.0,72.31,30.19,1.42,0.0,0.22,-643816540000000.0,0.0,25.62,27.03
2021-04-30 03:00:00,30.33,0.0,72.44,30.33,1.26,0.0,0.07,-221516000000000.0,0.0,25.74,26.09
2021-04-30 04:00:00,30.23,0.0,72.29,30.23,1.37,0.0,0.18,-526258450000000.0,0.0,25.65,26.77
2021-04-30 05:00:00,30.32,0.0,72.42,30.32,1.26,0.0,0.08,-249130700000000.0,0.0,25.73,26.15
2021-04-30 06:00:00,30.24,0.0,72.28,30.24,1.34,0.0,0.16,-471145800000000.0,0.0,25.67,26.65
2021-04-30 07:00:00,30.31,0.0,72.33,30.31,1.28,0.0,0.09,-275818560000000.0,0.0,25.72,26.21
2021-04-30 08:00:00,30.3,0.0,72.31,30.3,1.28,0.0,0.1,-303763740000000.0,0.0,25.72,26.28
2021-04-30 09:00:00,30.3,0.0,72.3,30.3,1.25,0.0,0.1,-305962260000000.0,0.0,25.71,26.28
2021-04-30 10:00:00,30.33,0.0,72.34,30.33,1.24,0.0,0.07,-222383900000000.0,0.0,25.74,26.09
2021-04-30 11:00:00,30.35,0.0,72.36,30.35,1.19,0.0,0.05,-138364410000000.0,0.0,25.76,25.91
2021-04-30 12:00:00,30.37,0.0,72.34,30.37,1.17,0.0,0.03,-82894295000000.0,0.0,25.78,25.78
2021-04-30 13:00:00,30.36,0.0,72.27,30.36,1.19,0.0,0.04,-110228520000000.0,0.0,25.77,25.85
2021-04-30 14:00:00,30.39,0.0,72.27,30.39,1.22,0.0,0.01,-27565366000000.0,0.0,25.79,25.66
2021-04-30 15:00:00,30.38,0.0,72.26,30.38,1.22,0.0,0.02,-55064907000000.0,0.0,25.78,25.72
2021-04-30 16:00:00,30.35,0.0,72.22,30.35,1.24,0.0,0.06,-165392200000000.0,0.0,25.75,25.97
2021-04-30 17:00:00,30.35,0.0,72.22,30.35,1.19,0.0,0.06,-165392200000000.0,0.0,25.75,25.97
2021-04-30 18:00:00,30.38,0.0,72.28,30.38,1.18,0.0,0.02,-55180210000000.0,0.0,25.78,25.72
2021-04-30 19:00:00,30.37,0.0,72.27,30.37,1.21,0.0,0.03,-82720830000000.0,0.0,25.78,25.78
2021-04-30 20:00:00,30.35,0.0,72.22,30.35,1.23,0.0,0.06,-165145420000000.0,0.0,25.75,25.97
2021-04-30 21:00:00,30.35,0.0,72.19,30.35,1.21,0.0,0.06,-165046920000000.0,0.0,25.75,25.97
2021-04-30 22:00:00,30.37,0.0,72.17,30.37,1.2,0.0,0.03,-82498860000000.0,0.0,25.78,25.78
2021-04-30 23:00:00,30.39,0.0,72.14,30.39,1.18,0.0,0.01,-27385310000000.0,0.0,25.79,25.66
2021-05-01 00:00:00,30.39,0.0,72.09,30.39,1.17,0.0,0.01,-27409722000000.0,0.0,25.79,25.66
2021-05-01 01:00:00,30.39,0.0,72.05,30.39,1.18,0.0,0.01,-27328510000000.0,0.0,25.79,25.66
2021-05-01 02:00:00,30.39,0.0,72.01,30.39,1.18,0.0,0.01,-27304240000000.0,0.0,25.79,25.66
2021-05-01 03:00:00,30.36,0.0,71.93,30.36,1.21,0.0,0.04,-109281660000000.0,0.0,25.77,25.84
2021-05-01 04:00:00,30.4,0.0,71.96,30.4,1.17,0.0,0.0,26.0,0.0,25.8,25.6
2021-05-01 05:00:00,30.4,0.0,71.97,30.4,1.18,0.0,0.0,26.0,0.0,25.8,25.6
2021-05-01 06:00:00,30.4,0.0,71.96,30.4,1.18,0.0,0.0,26.0,0.0,25.8,25.6
2021-05-01 07:00:00,30.38,0.0,71.97,30.38,1.19,0.0,0.02,-54738112000000.0,0.0,25.78,25.72
2021-05-01 08:00:00,30.38,0.0,72.06,30.38,1.18,0.0,0.02,-54901020000000.0,0.0,25.78,25.72
2021-05-01 09:00:00,30.37,0.0,72.15,30.37,1.19,0.0,0.03,-82869465000000.0,0.0,25.78,25.78
2021-05-01 10:00:00,30.32,0.0,72.15,30.32,1.27,0.0,0.08,-250106480000000.0,0.0,25.73,26.16
2021-05-01 11:00:00,30.34,0.0,72.25,30.34,1.28,0.0,0.07,-194410130000000.0,0.0,25.75,26.03
2021-05-01 12:00:00,30.24,0.0,72.19,30.24,1.37,0.0,0.16,-476008880000000.0,0.0,25.67,26.66
2021-05-01 13:00:00,30.3,0.0,72.32,30.3,1.31,0.0,0.1,-307259500000000.0,0.0,25.71,26.28
2021-05-01 14:00:00,30.13,0.0,72.12,30.13,1.42,0.0,0.27,-815481100000000.0,0.0,25.57,27.42
2021-05-01 15:00:00,30.18,0.0,72.21,30.18,1.39,0.0,0.23,-676117640000000.0,0.0,25.61,27.1
2021-05-01 16:00:00,30.12,0.0,72.2,30.12,1.44,0.0,0.29,-851912400000000.0,0.0,25.56,27.5
2021-05-01 17:00:00,30.1,0.0,72.21,30.1,1.44,0.0,1.14,-910669200000000.0,0.0,25.55,27.63
2021-05-01 18:00:00,30.11,0.0,72.22,30.11,1.46,0.0,0.92,-874922150000000.0,0.0,25.56,27.55
2021-05-01 19:00:00,30.07,0.0,72.14,30.07,1.54,0.0,0.33,-995430200000000.0,0.0,25.52,27.82
2021-05-01 20:00:00,30.07,0.0,72.1,30.07,1.54,0.0,0.33,-994510200000000.0,0.0,25.52,27.81
2021-05-01 21:00:00,30.22,0.0,72.22,30.22,1.4,0.0,0.18,-533467500000000.0,0.0,25.65,26.79
2021-05-01 22:00:00,30.13,0.0,72.03,30.13,1.53,0.0,0.27,-813744400000000.0,0.0,25.57,27.41
2021-05-01 23:00:00,30.22,0.0,72.11,30.22,1.42,0.0,0.19,-560180500000000.0,0.0,25.64,26.85
2021-05-02 00:00:00,30.25,0.0,72.12,30.25,1.32,0.0,0.15,-445708100000000.0,0.0,25.68,26.59
2021-05-02 01:00:00,30.3,0.0,72.16,30.3,1.27,0.0,0.1,-305317750000000.0,0.0,25.71,26.28
2021-05-02 02:00:00,30.35,0.0,72.27,30.35,1.22,0.0,0.06,-165937720000000.0,0.0,25.75,25.97
2021-05-02 03:00:00,30.34,0.0,72.24,30.34,1.22,0.0,0.06,-192842320000000.0,0.0,25.75,26.03
2021-05-02 04:00:00,30.39,0.0,72.29,30.39,1.19,0.0,0.01,-27557130000000.0,0.0,25.79,25.66
2021-05-02 05:00:00,30.29,0.0,72.13,30.29,1.31,0.0,0.11,-331477860000000.0,0.0,25.71,26.34
2021-05-02 06:00:00,30.35,0.0,72.19,30.35,1.25,0.0,0.06,-165145420000000.0,0.0,25.75,25.97
2021-05-02 07:00:00,30.31,0.0,72.14,30.31,1.23,0.0,0.09,-275818560000000.0,0.0,25.72,26.21
2021-05-02 08:00:00,30.33,0.0,72.21,30.33,1.2,0.0,0.07,-221183970000000.0,0.0,25.74,26.09
2021-05-02 09:00:00,30.19,0.0,72.11,30.19,1.32,0.0,0.22,-645579900000000.0,0.0,25.62,27.04
2021-05-02 10:00:00,30.01,0.0,71.96,30.01,1.54,0.0,0.4,-1195253400000000.0,0.0,25.47,28.26
2021-05-02 11:00:00,29.99,0.0,71.97,29.99,1.59,0.0,0.42,-1253330400000000.0,0.0,25.45,28.39
2021-05-02 12:00:00,29.87,0.0,71.86,29.87,1.71,0.0,0.54,-1616110200000000.0,0.0,25.35,29.2
2021-05-02 13:00:00,29.77,0.0,71.79,29.77,1.83,0.0,0.64,-1900538600000000.0,0.0,25.27,29.83
2021-05-02 14:00:00,29.44,0.0,71.38,29.44,2.18,0.0,1.88,-2915433700000000.0,0.0,24.98,32.09
2021-05-02 15:00:00,29.41,0.0,71.38,29.41,2.21,0.0,1.97,-2997081300000000.0,0.0,24.96,32.27
2021-05-02 16:00:00,29.07,0.0,70.94,29.07,2.57,0.0,2.31,-4037468200000000.0,0.0,24.67,34.59
2021-05-02 17:00:00,29.45,0.0,71.46,29.45,2.2,0.0,1.94,-2879520600000000.0,0.0,24.99,32.01
2021-05-02 18:00:00,29.03,0.0,70.87,29.03,2.63,0.0,2.36,-4168082700000000.0,0.0,24.63,34.88
2021-05-02 19:00:00,29.43,0.0,71.4,29.43,2.23,0.0,1.45,-2939251500000000.0,0.0,24.98,32.14
2021-05-02 20:00:00,29.34,0.0,71.26,29.34,2.29,0.0,1.08,-3206850000000000.0,0.0,24.9,32.74
2021-05-02 21:00:00,29.76,0.0,71.79,29.76,1.78,0.0,0.65,-1945376200000000.0,0.0,25.26,29.93
2021-05-02 22:00:00,30.05,0.0,72.13,30.05,1.52,0.0,0.36,-1073141900000000.0,0.0,25.5,27.99
2021-05-02 23:00:00,30.26,0.0,72.36,30.26,1.39,0.0,0.14,-420774260000000.0,0.0,25.68,26.54
2021-05-03 00:00:00,30.23,0.0,72.27,30.23,1.42,0.0,0.18,-528320970000000.0,0.0,25.65,26.78
2021-05-03 01:00:00,30.28,0.0,72.31,30.28,1.37,0.0,0.12,-359855450000000.0,0.0,25.7,26.4
2021-05-03 02:00:00,30.35,0.0,72.38,30.35,1.29,0.0,0.05,-138074440000000.0,0.0,25.76,25.91
2021-05-03 03:00:00,30.28,0.0,72.26,30.28,1.35,0.0,0.12,-359531750000000.0,0.0,25.7,26.4
2021-05-03 04:00:00,30.35,0.0,72.32,30.35,1.27,0.0,0.06,-164752110000000.0,0.0,25.75,25.97
2021-05-03 05:00:00,30.38,0.0,72.34,30.38,1.22,0.0,0.02,-54901020000000.0,0.0,25.78,25.72
2021-05-03 06:00:00,30.38,0.0,72.33,30.38,1.21,0.0,0.02,-54770620000000.0,0.0,25.78,25.72
2021-05-03 07:00:00,30.34,0.0,72.26,30.34,1.25,0.0,0.06,-192669650000000.0,0.0,25.75,26.03
2021-05-03 08:00:00,30.33,0.0,72.3,30.33,1.25,0.0,0.07,-222183000000000.0,0.0,25.74,26.09
2021-05-03 09:00:00,29.97,0.0,71.91,29.97,1.58,0.0,0.44,-1306265700000000.0,0.0,25.43,28.51
2021-05-03 10:00:00,29.54,0.0,71.42,29.54,2.03,0.0,0.88,-2618623000000000.0,0.0,25.07,31.43
2021-05-03 11:00:00,29.28,0.0,71.15,29.28,2.33,0.0,1.14,-3405097000000000.0,0.0,24.85,33.18
2021-05-03 12:00:00,28.59,0.0,70.28,28.59,3.05,0.0,2.55,-5479840300000000.0,0.0,24.27,37.8
