date,TNS_1_DEVICE_0_PT1_P1_2,TNS_1_DEVICE_0_TEMP_P1_M2,TNS_1_DEVICE_0_TEMP_P1_M3,TNS_1_DEVICE_0_PT1_P1_1,TNS_1_DEVICE_0_VT1_P1_2,TNS_1_DEVICE_0_TEMP_P1_M1,TNS_1_DEVICE_0_TEMP_P1_B1,TNS_1_DEVICE_0_TT1_P1_2,TNS_1_DEVICE_0_TEMP_P1_B2,TNS_1_DEVICE_0_STATE_P1,TNS_1_DEVICE_0_CURR_P1
2021-04-28 14:00:00,7.0,86.15,87.38,7.0,2.02,87.81,63.09,22.48,52.93,1.0,470.51
2021-04-28 15:00:00,7.0,86.68,87.89,6.99,1.99,88.37,63.66,22.58,53.31,1.0,468.61
2021-04-28 16:00:00,7.0,87.07,88.3,7.0,1.97,88.77,64.11,22.68,53.76,1.0,470.23
2021-04-28 17:00:00,7.0,87.52,88.75,7.0,1.96,89.26,64.41,22.76,54.01,1.0,469.92
2021-04-28 18:00:00,7.66,89.18,90.35,7.38,2.13,90.88,64.81,22.81,54.35,1.0,496.76
2021-04-28 19:00:00,8.0,91.11,92.32,7.99,2.19,92.88,65.63,22.94,54.46,1.0,504.37
2021-04-28 20:00:00,8.0,91.27,92.53,8.0,2.21,93.06,65.43,22.89,53.44,1.0,503.38
2021-04-28 21:00:00,8.0,90.6,91.8,7.99,2.23,92.3,64.4,22.66,51.62,1.0,505.35
2021-04-28 22:00:00,8.0,89.96,91.22,7.99,2.2,91.63,63.25,22.41,50.58,1.0,507.04
2021-04-28 23:00:00,8.0,88.91,90.21,8.0,2.22,90.56,62.27,22.24,49.48,1.0,504.28
2021-04-29 00:00:00,8.0,87.57,88.9,8.0,2.23,89.24,60.84,21.96,47.87,1.0,504.64
2021-04-29 01:00:00,8.0,85.92,87.26,8.0,2.19,87.61,59.27,21.67,46.42,1.0,503.76
2021-04-29 02:00:00,8.0,84.81,86.19,8.0,2.2,86.5,58.13,21.47,45.48,1.0,504.77
2021-04-29 03:00:00,8.0,83.81,85.19,8.0,2.19,85.48,57.14,21.29,44.86,1.0,504.34
2021-04-29 04:00:00,8.0,82.78,84.19,8.0,2.18,84.45,56.24,21.14,44.05,1.0,504.12
2021-04-29 05:00:00,8.0,81.97,83.35,8.0,2.18,83.65,55.37,21.01,43.67,1.0,503.87
2021-04-29 06:00:00,8.0,81.13,82.45,8.0,2.19,82.76,54.48,20.82,42.64,1.0,503.43
2021-04-29 07:00:00,8.0,80.47,81.72,8.0,2.18,82.08,53.97,20.73,42.57,1.0,503.49
2021-04-29 08:00:00,8.0,80.99,82.35,8.0,2.19,82.65,54.88,20.95,44.23,1.0,504.46
2021-04-29 09:00:00,8.0,82.64,83.95,7.99,2.18,84.28,56.72,21.31,46.37,1.0,506.14
2021-04-29 10:00:00,8.0,85.02,86.29,8.0,2.29,86.66,58.86,21.69,48.46,1.0,514.01
2021-04-29 11:00:00,8.0,87.48,88.79,8.0,2.29,89.18,61.27,22.13,50.79,1.0,515.17
2021-04-29 12:00:00,8.0,90.09,91.34,8.0,2.26,91.77,63.55,22.51,52.81,1.0,516.76
2021-04-29 13:00:00,8.0,92.35,93.63,8.0,2.25,94.06,65.62,22.87,54.55,1.0,517.19
2021-04-29 14:00:00,8.0,94.11,95.4,8.0,2.21,95.84,67.3,23.18,55.81,1.0,514.78
2021-04-29 15:00:00,0.62,79.46,80.38,0.61,1.07,81.27,68.01,23.09,58.22,0.1,44.19
2021-04-29 16:00:00,2.84,73.69,74.45,2.97,1.57,75.39,65.48,22.44,59.62,0.5,230.26
2021-04-29 17:00:00,7.0,89.1,90.25,7.0,2.17,90.74,64.67,22.81,55.66,1.0,509.31
2021-04-29 18:00:00,7.0,91.52,92.75,7.0,2.1,93.27,65.8,23.09,54.87,1.0,508.34
2021-04-29 19:00:00,7.0,92.14,93.38,7.0,2.15,93.86,66.15,23.07,54.38,1.0,507.57
2021-04-29 20:00:00,7.0,92.09,93.3,7.0,2.13,93.8,65.89,22.93,53.37,1.0,506.75
2021-04-29 21:00:00,7.0,90.9,92.16,7.0,2.15,92.63,64.63,22.66,51.51,1.0,505.9
2021-04-29 22:00:00,7.0,89.36,90.61,7.0,2.15,91.03,63.25,22.39,50.04,1.0,502.57
2021-04-29 23:00:00,7.0,87.42,88.68,6.99,2.14,89.12,61.8,22.13,48.75,1.0,494.87
2021-04-30 00:00:00,7.0,85.62,86.89,7.0,2.15,87.33,60.26,21.85,47.82,1.0,495.14
2021-04-30 01:00:00,7.0,84.51,85.78,7.0,2.13,86.22,59.17,21.68,47.0,1.0,496.84
2021-04-30 02:00:00,7.0,83.65,84.96,7.0,2.14,85.39,58.38,21.57,46.17,1.0,496.3
2021-04-30 03:00:00,7.0,82.06,83.35,7.0,2.15,83.8,57.29,21.39,45.17,1.0,487.14
2021-04-30 04:00:00,7.0,80.78,82.01,7.0,2.16,82.48,56.1,21.2,44.44,1.0,486.73
2021-04-30 05:00:00,7.0,80.14,81.4,7.0,2.16,81.94,55.54,21.11,44.38,1.0,487.21
2021-04-30 06:00:00,7.0,79.88,81.08,7.0,2.16,81.52,55.05,21.04,43.64,1.0,487.24
2021-04-30 07:00:00,7.0,78.37,79.59,7.0,1.97,80.05,54.45,20.92,43.03,1.0,468.5
2021-04-30 08:00:00,7.0,77.1,78.36,7.0,1.98,78.87,53.76,20.81,42.45,1.0,468.42
2021-04-30 09:00:00,7.0,77.0,78.23,7.0,1.96,78.69,54.0,20.95,43.73,1.0,469.64
2021-04-30 10:00:00,7.0,77.09,78.27,7.0,1.98,78.75,54.07,21.04,43.85,1.0,469.84
2021-04-30 11:00:00,7.0,76.85,78.03,7.0,2.0,78.53,53.78,21.01,43.47,1.0,469.15
2021-04-30 12:00:00,7.0,76.25,77.54,7.0,1.99,78.01,53.25,20.87,42.49,1.0,466.08
2021-04-30 13:00:00,7.0,75.22,76.49,7.0,1.93,76.96,52.16,20.7,41.12,1.0,469.19
2021-04-30 14:00:00,7.0,73.98,75.24,7.0,1.98,75.73,51.07,20.54,39.99,1.0,469.41
2021-04-30 15:00:00,7.0,73.64,74.84,7.0,1.93,75.4,51.04,20.61,41.58,1.0,468.98
2021-04-30 16:00:00,6.84,73.9,75.15,6.99,1.9,75.58,51.26,20.68,41.7,1.0,462.83
2021-04-30 17:00:00,6.34,72.83,74.07,6.85,1.84,74.56,51.02,20.62,41.19,1.0,450.88
2021-04-30 18:00:00,6.5,72.4,73.57,6.99,1.85,74.2,50.88,20.55,41.19,1.0,450.47
2021-04-30 19:00:00,6.78,72.18,73.36,7.0,1.86,73.85,50.62,20.55,41.38,1.0,449.93
2021-04-30 20:00:00,6.87,71.92,73.08,7.0,1.83,73.66,50.33,20.5,40.88,1.0,449.53
2021-04-30 21:00:00,6.68,71.14,72.36,7.0,1.79,72.89,49.88,20.39,39.61,1.0,449.56
2021-04-30 22:00:00,6.61,70.28,71.5,7.0,1.81,72.0,49.29,20.27,38.47,1.0,449.14
2021-04-30 23:00:00,6.51,69.22,70.44,7.0,1.86,70.91,48.03,20.06,37.33,1.0,449.01
2021-05-01 00:00:00,6.58,68.35,69.5,7.0,1.84,69.97,47.02,19.87,36.54,1.0,448.45
