date,TNS_0_DEVICE_1_PT1_P2_2,TNS_0_DEVICE_1_PT1_P2_1,TNS_0_DEVICE_1_VT1_P2_2,TNS_0_DEVICE_1_TEMP_P2_B2,TNS_0_DEVICE_1_TEMP_P2_B1,TNS_0_DEVICE_1_STATE_P2,TNS_0_DEVICE_1_CURR_P2,TNS_0_DEVICE_1_TT1_P2_2,TNS_0_DEVICE_1_TEMP_P2_M3,TNS_0_DEVICE_1_TEMP_P2_M2,TNS_0_DEVICE_1_TEMP_P2_M1
2021-04-28 14:00:00,4.97,4.86,7.45,23.85,57.44,0.97,224.55,47.3,23.67,23.5,23.32
2021-04-28 15:00:00,5.47,4.86,7.87,23.45,60.86,0.97,224.53,47.16,23.27,23.1,22.93
2021-04-28 16:00:00,5.98,4.83,8.15,23.04,64.31,0.97,222.87,47.02,22.87,22.7,22.53
2021-04-28 17:00:00,5.77,4.86,7.99,23.21,62.89,0.97,224.52,47.14,23.04,22.87,22.69
2021-04-28 18:00:00,5.11,4.81,7.52,23.73,58.43,0.96,221.93,47.41,23.56,23.38,23.21
2021-04-28 19:00:00,4.38,4.84,6.86,24.32,53.45,0.97,223.53,47.76,24.14,23.96,23.78
2021-04-28 20:00:00,4.4,4.92,6.91,24.3,53.6,0.98,227.05,47.64,24.12,23.94,23.76
2021-04-28 21:00:00,2.53,4.92,4.81,25.79,40.92,0.99,227.92,48.23,25.6,25.41,25.22
2021-04-28 22:00:00,2.03,4.47,4.3,26.18,37.55,0.99,229.65,48.36,25.99,25.8,25.6
2021-04-28 23:00:00,1.71,4.46,3.99,26.43,35.42,1.0,230.18,48.41,26.24,26.04,25.85
2021-04-29 00:00:00,1.3,4.35,3.63,26.76,32.64,1.0,230.55,48.4,26.56,26.36,26.17
2021-04-29 01:00:00,1.18,4.0,3.56,26.85,31.85,1.0,230.83,48.34,26.65,26.46,26.26
2021-04-29 02:00:00,1.16,4.0,3.52,26.87,31.7,1.0,230.9,48.26,26.67,26.47,26.27
2021-04-29 03:00:00,1.08,4.0,3.35,26.94,31.15,1.0,230.83,48.22,26.74,26.54,26.34
2021-04-29 04:00:00,1.1,4.12,3.26,26.92,31.29,1.0,230.9,48.19,26.72,26.52,26.32
2021-04-29 05:00:00,1.12,4.3,3.46,26.9,31.42,1.0,230.9,48.13,26.7,26.5,26.31
2021-04-29 06:00:00,1.04,4.0,3.38,26.97,30.87,1.0,230.9,48.09,26.77,26.57,26.37
2021-04-29 07:00:00,1.07,4.0,3.46,26.94,31.08,1.0,230.9,48.04,26.74,26.54,26.35
2021-04-29 08:00:00,1.11,4.43,3.59,26.91,31.36,1.0,230.76,48.16,26.71,26.51,26.31
2021-04-29 09:00:00,1.23,4.99,3.7,26.82,32.14,1.0,230.62,48.3,26.62,26.42,26.22
2021-04-29 10:00:00,1.77,4.98,4.13,26.39,35.79,1.0,230.25,48.27,26.2,26.0,25.8
2021-04-29 11:00:00,2.47,4.95,4.82,25.83,40.58,0.99,228.79,48.14,25.64,25.45,25.25
2021-04-29 12:00:00,3.86,4.9,6.28,24.73,49.94,0.98,226.35,47.73,24.55,24.36,24.18
2021-04-29 13:00:00,4.57,4.84,6.91,24.17,54.75,0.97,223.63,47.56,23.99,23.81,23.63
2021-04-29 14:00:00,7.29,4.73,9.13,22.01,73.13,0.95,218.91,46.57,21.84,21.68,21.52
2021-04-29 15:00:00,6.21,2.63,6.59,22.86,65.86,0.95,220.36,47.07,22.69,22.52,22.35
2021-04-29 16:00:00,7.14,3.35,7.79,22.12,72.13,0.95,218.6,46.7,21.96,21.8,21.63
