date,TNS_0_DEVICE_3_VT1_P4_2,TNS_0_DEVICE_3_CURR_P4,TNS_0_DEVICE_3_TT1_P4_2,TNS_0_DEVICE_3_TEMP_P4_B1,TNS_0_DEVICE_3_PT1_P4_1,TNS_0_DEVICE_3_PT1_P4_2,TNS_0_DEVICE_3_TEMP_P4_B2,TNS_0_DEVICE_3_STATE_P4,TNS_0_DEVICE_3_TEMP_P4_M3,TNS_0_DEVICE_3_TEMP_P4_M2,TNS_0_DEVICE_3_TEMP_P4_M1
2021-04-28 14:00:00,0.86,253.43,64.2,34.43,-11.67,5.37,34.62,0.97,27.81,27.62,30.93
2021-04-28 15:00:00,0.85,253.41,63.23,34.42,-11.67,5.87,34.62,0.97,27.81,27.62,30.92
2021-04-28 16:00:00,0.86,251.54,62.22,34.17,-11.58,5.85,34.36,0.97,27.61,27.41,30.69
2021-04-28 17:00:00,0.37,253.4,62.66,34.42,-11.67,5.86,34.62,0.97,27.81,27.62,30.92
2021-04-28 18:00:00,1.03,250.48,63.99,34.03,-11.53,5.05,34.22,0.96,27.49,27.3,30.57
2021-04-28 19:00:00,1.43,252.28,65.47,34.27,-11.62,5.0,34.46,0.97,27.69,27.49,30.78
2021-04-28 20:00:00,1.44,256.26,65.38,34.81,-11.8,4.1,35.01,0.98,28.12,27.93,31.27
2021-04-28 21:00:00,1.57,257.23,69.08,34.94,-11.85,3.33,35.14,0.99,28.23,28.03,31.39
2021-04-28 22:00:00,1.78,259.19,70.05,35.21,-11.94,3.05,35.41,0.99,28.45,28.25,31.63
2021-04-28 23:00:00,1.93,259.79,70.64,35.29,-11.96,3.03,35.49,1.0,28.51,28.31,31.7
2021-04-29 00:00:00,2.4,260.2,71.37,35.35,-11.98,3.01,35.55,1.0,28.56,28.36,31.75
2021-04-29 01:00:00,2.3,260.52,71.52,35.39,-12.0,2.54,35.59,1.0,28.59,28.39,31.79
2021-04-29 02:00:00,2.04,260.6,71.49,35.4,-12.0,2.83,35.6,1.0,28.6,28.4,31.8
2021-04-29 03:00:00,2.12,260.52,71.62,35.39,-12.0,2.93,35.59,1.0,28.59,28.39,31.79
2021-04-29 04:00:00,2.33,260.6,71.56,35.4,-12.0,2.01,35.6,1.0,28.6,28.4,31.8
2021-04-29 05:00:00,2.25,260.6,71.48,35.4,-12.0,2.01,35.6,1.0,28.6,28.4,31.8
2021-04-29 06:00:00,2.27,260.6,71.57,35.4,-12.0,2.0,35.6,1.0,28.6,28.4,31.8
2021-04-29 07:00:00,2.32,260.6,71.52,35.4,-12.0,2.0,35.6,1.0,28.6,28.4,31.8
2021-04-29 08:00:00,2.43,260.44,71.54,35.38,-11.99,2.44,35.58,1.0,28.58,28.38,31.78
2021-04-29 09:00:00,2.32,260.28,71.37,35.36,-11.99,3.01,35.56,1.0,28.57,28.37,31.76
2021-04-29 10:00:00,1.96,259.87,70.42,35.3,-11.97,3.05,35.5,1.0,28.52,28.32,31.71
2021-04-29 11:00:00,1.81,258.22,69.12,35.08,-11.89,3.09,35.27,0.99,28.34,28.14,31.51
2021-04-29 12:00:00,1.31,255.46,66.4,34.7,-11.76,2.86,34.9,0.98,28.04,27.84,31.17
2021-04-29 13:00:00,1.0,252.39,65.02,34.28,-11.62,2.37,34.48,0.97,27.7,27.51,30.8
2021-04-29 14:00:00,-0.3,247.07,59.55,33.56,-11.38,2.92,33.75,0.95,27.12,26.93,30.15
2021-04-29 15:00:00,-0.13,248.7,61.57,33.78,-11.45,2.22,33.97,0.95,27.29,27.1,30.35
2021-04-29 16:00:00,-0.4,246.72,59.74,33.51,-11.36,2.5,33.7,0.95,27.08,26.89,30.11
2021-04-29 17:00:00,-0.23,245.82,59.5,33.39,-11.32,3.37,33.58,0.94,26.98,26.79,30.0
2021-04-29 18:00:00,0.66,251.92,62.8,34.22,-11.6,3.28,34.41,0.97,27.65,27.45,30.74
2021-04-29 19:00:00,1.41,255.17,66.52,34.66,-11.75,3.17,34.86,0.98,28.0,27.81,31.14
2021-04-29 20:00:00,1.4,255.87,66.91,34.76,-11.78,2.75,34.95,0.98,28.08,27.88,31.22
