date,TNS_1_DEVICE_1_PT2_P2_1,TNS_1_DEVICE_0_PT1_P2_2,TNS_1_DEVICE_1_TEMP_P2_B1,TNS_1_DEVICE_1_TEMP_P2_B2,TNS_1_DEVICE_1_CURR_P2,TNS_1_DEVICE_1_STATE_P2,TNS_1_DEVICE_1_TEMP_P2_M1,TNS_1_DEVICE_1_TEMP_P2_M2,TNS_1_DEVICE_1_TEMP_P2_M3,TNS_1_DEVICE_1_TT1_P2_2,TNS_1_DEVICE_1_VT1_P2_2
2021-04-28 14:00:00,7.0,-2.0,64.01,51.94,485.82,1.0,89.88,86.08,86.28,22.32,2.4
2021-04-28 15:00:00,6.99,-1.92,64.55,52.35,483.86,1.0,90.36,86.56,86.74,22.5,2.42
2021-04-28 16:00:00,7.0,-1.99,65.11,52.84,485.52,1.0,90.93,87.25,87.35,22.61,2.37
2021-04-28 17:00:00,6.99,-1.92,65.37,53.04,485.09,1.0,91.37,87.49,87.7,22.69,2.4
2021-04-28 18:00:00,7.6,-1.99,66.03,53.52,513.49,1.0,93.11,89.33,89.42,22.73,2.64
2021-04-28 19:00:00,8.0,-1.97,66.9,53.86,521.44,1.0,95.18,91.39,91.52,22.8,2.78
2021-04-28 20:00:00,8.0,-2.0,66.79,52.82,520.18,1.0,95.42,91.57,91.62,22.69,2.71
2021-04-28 21:00:00,8.0,-2.0,65.64,51.1,522.12,1.0,94.62,90.82,90.85,22.4,2.71
2021-04-28 22:00:00,8.0,-2.0,64.53,49.89,523.94,1.0,93.83,90.06,90.05,22.13,2.71
2021-04-28 23:00:00,8.0,-1.98,63.54,48.76,521.14,1.0,92.72,88.94,88.92,21.92,2.74
2021-04-29 00:00:00,8.0,-1.99,62.16,47.04,521.4,1.0,91.41,87.68,87.68,21.64,2.72
2021-04-29 01:00:00,8.0,-1.98,60.59,45.37,520.54,1.0,89.71,85.99,86.01,21.35,2.72
2021-04-29 02:00:00,8.0,-2.0,59.42,44.36,521.54,1.0,88.63,84.92,84.93,21.12,2.72
2021-04-29 03:00:00,8.0,-2.0,58.42,43.44,521.08,1.0,87.6,83.91,83.94,20.95,2.74
2021-04-29 04:00:00,8.0,-2.0,57.51,42.62,520.77,1.0,86.55,82.88,82.92,20.79,2.75
2021-04-29 05:00:00,8.0,-2.0,56.77,41.94,520.64,1.0,85.81,82.06,82.17,20.66,2.76
2021-04-29 06:00:00,8.0,-1.98,55.85,40.98,520.18,1.0,84.88,81.16,81.23,20.51,2.78
2021-04-29 07:00:00,8.0,-1.96,55.27,40.91,520.16,1.0,84.14,80.37,80.49,20.46,2.79
2021-04-29 08:00:00,8.0,-1.96,56.11,42.67,520.91,1.0,84.6,80.98,81.07,20.65,2.77
2021-04-29 09:00:00,7.99,-1.94,57.72,44.84,522.71,1.0,86.13,82.45,82.6,20.94,2.77
2021-04-29 10:00:00,8.0,-1.98,59.95,47.47,531.81,1.0,88.82,85.15,85.24,21.36,2.79
2021-04-29 11:00:00,8.0,-1.99,62.56,50.12,533.33,1.0,91.73,88.01,88.11,21.84,2.78
2021-04-29 12:00:00,8.0,-2.0,65.04,52.52,535.18,1.0,94.51,90.78,90.89,22.27,2.76
2021-04-29 13:00:00,8.0,-2.0,67.23,54.55,535.47,1.0,96.9,93.15,93.29,22.65,2.77
2021-04-29 14:00:00,8.0,-1.99,68.96,56.03,532.92,1.0,98.72,95.0,95.1,22.96,2.79
2021-04-29 15:00:00,0.61,-1.98,69.66,58.92,43.47,0.1,83.63,80.17,80.72,22.89,1.22
2021-04-29 16:00:00,3.11,-1.97,66.94,58.83,298.78,0.67,79.56,75.94,76.45,22.43,2.32
2021-04-29 17:00:00,7.0,-1.98,66.2,54.82,530.08,1.0,93.24,89.99,90.01,22.85,2.89
2021-04-29 18:00:00,7.0,-1.96,67.47,54.6,529.7,1.0,96.09,92.81,92.73,23.13,2.87
2021-04-29 19:00:00,7.0,-1.99,68.17,54.51,528.72,1.0,97.09,93.7,93.57,23.11,2.82
2021-04-29 20:00:00,7.0,-2.0,67.96,53.83,527.36,1.0,97.14,93.84,93.62,22.85,2.89
2021-04-29 21:00:00,7.0,-1.98,66.73,51.85,526.31,1.0,95.98,92.66,92.51,22.52,2.93
2021-04-29 22:00:00,6.99,-1.77,64.99,50.21,522.45,1.0,93.82,90.56,90.42,22.28,3.06
2021-04-29 23:00:00,6.99,-1.93,63.79,48.66,514.54,1.0,92.14,88.97,88.76,21.97,2.9
