date,TNS_1_DEVICE_2_VT1_P3_2,TNS_1_DEVICE_2_TEMP_P3_B1,TNS_1_DEVICE_2_CURR_P3,TNS_1_DEVICE_2_PT3_P3_1,TNS_1_DEVICE_2_TEMP_P3_B2,TNS_1_DEVICE_2_TT1_P3_2,TNS_1_DEVICE_2_TEMP_P3_M1,TNS_1_DEVICE_2_PT1_P3_2,TNS_1_DEVICE_2_TEMP_P3_M2,TNS_1_DEVICE_2_TEMP_P3_M3,TNS_1_DEVICE_2_STATE_P3
2021-04-28 14:00:00,2.32,62.53,463.85,7.0,50.67,22.14,73.93,7.0,85.31,85.8,1.0
2021-04-28 15:00:00,2.28,63.03,461.8,6.99,50.95,22.28,28.97,7.04,85.7,86.22,1.0
2021-04-28 16:00:00,2.31,63.73,463.61,7.0,51.53,22.38,0.91,7.01,86.36,86.94,1.0
2021-04-28 17:00:00,2.26,63.9,462.97,6.99,51.62,22.43,0.3,7.05,86.77,87.31,1.0
2021-04-28 18:00:00,2.32,64.45,488.78,7.46,51.93,22.48,3.0,7.68,88.1,88.69,1.0
2021-04-28 19:00:00,2.32,65.07,496.22,7.99,52.09,22.52,0.0,8.02,89.82,90.51,1.0
2021-04-28 20:00:00,2.29,64.82,495.4,8.0,51.03,22.38,0.0,8.0,89.94,90.48,1.0
2021-04-28 21:00:00,2.28,63.69,497.3,8.0,49.33,22.08,28.07,8.0,89.09,89.7,1.0
2021-04-28 22:00:00,2.27,62.54,499.16,8.0,48.19,21.78,1.72,8.0,88.29,88.9,1.0
2021-04-28 23:00:00,2.27,61.48,496.74,8.0,47.08,21.59,0.8,8.01,87.31,87.93,1.0
2021-04-29 00:00:00,2.28,60.09,497.06,8.0,45.3,21.28,6.02,8.01,86.03,86.62,1.0
2021-04-29 01:00:00,2.41,58.5,496.39,8.0,43.81,21.0,6.49,8.01,84.45,85.05,1.0
2021-04-29 02:00:00,2.34,57.33,497.29,8.0,43.0,20.77,2.1,8.0,83.35,84.0,1.0
2021-04-29 03:00:00,2.34,56.34,496.81,8.0,42.07,20.6,82.35,8.0,82.42,83.0,1.0
2021-04-29 04:00:00,2.34,55.37,496.59,8.0,41.69,20.44,55.61,8.0,81.44,82.05,1.0
2021-04-29 05:00:00,2.34,54.58,496.38,8.0,40.87,20.31,58.63,8.0,80.67,81.29,1.0
2021-04-29 06:00:00,2.37,53.68,495.97,8.0,39.73,20.15,26.73,8.01,79.82,80.43,1.0
2021-04-29 07:00:00,2.44,53.13,495.96,8.0,39.65,20.11,0.0,8.02,79.11,79.7,1.0
2021-04-29 08:00:00,2.51,53.96,496.67,8.0,41.31,20.33,0.0,8.02,79.6,80.25,1.0
2021-04-29 09:00:00,2.46,55.65,498.06,7.99,43.49,20.71,31.85,8.03,81.09,81.73,1.0
2021-04-29 10:00:00,2.46,57.99,507.05,8.0,46.13,21.14,66.04,8.01,83.56,84.22,1.0
2021-04-29 11:00:00,2.45,60.67,508.28,8.0,48.99,21.62,32.55,8.0,86.33,87.0,1.0
2021-04-29 12:00:00,2.49,63.16,509.65,8.0,51.11,22.05,60.28,8.0,88.91,89.63,1.0
2021-04-29 13:00:00,2.5,65.36,509.93,8.0,52.91,22.44,5.24,8.0,91.25,91.93,1.0
2021-04-29 14:00:00,2.53,67.17,508.18,8.0,54.39,22.73,0.0,8.01,93.13,93.77,1.0
2021-04-29 15:00:00,1.35,67.6,42.64,0.62,58.08,22.65,70.99,0.63,80.32,80.26,0.11
2021-04-29 16:00:00,1.92,65.14,258.89,3.16,58.32,22.2,59.78,3.49,75.39,75.38,0.59
2021-04-29 17:00:00,2.7,64.73,505.69,7.0,53.45,22.51,68.47,8.01,88.58,89.12,1.0
2021-04-29 18:00:00,2.65,65.71,505.53,7.0,53.34,22.62,0.0,8.03,91.05,91.61,1.0
2021-04-29 19:00:00,2.64,65.94,503.92,7.0,52.99,22.55,0.0,8.01,91.68,92.12,1.0
2021-04-29 20:00:00,2.63,65.76,502.74,7.0,52.1,22.38,0.0,8.0,91.52,92.03,1.0
2021-04-29 21:00:00,2.65,64.32,501.97,7.0,50.22,22.07,0.0,8.01,90.26,90.84,1.0
2021-04-29 22:00:00,2.64,62.45,498.45,6.99,48.46,21.83,0.0,8.14,88.61,89.19,1.0
2021-04-29 23:00:00,2.57,61.3,491.29,6.99,46.99,21.52,0.0,8.04,86.69,87.32,1.0
2021-04-30 00:00:00,2.59,59.6,491.63,7.0,45.71,21.24,0.0,8.04,84.87,85.42,1.0
2021-04-30 01:00:00,2.62,58.48,493.92,7.0,45.06,21.07,0.0,8.0,83.7,84.24,1.0
2021-04-30 02:00:00,2.64,57.76,493.36,7.0,44.66,20.97,0.0,8.0,82.97,83.54,1.0
2021-04-30 03:00:00,2.53,56.59,483.89,7.0,43.14,20.78,0.0,7.02,81.5,82.05,1.0
2021-04-30 04:00:00,2.53,55.18,483.65,7.0,41.99,20.57,0.0,7.0,80.05,80.59,1.0
2021-04-30 05:00:00,2.46,54.55,484.03,7.0,41.85,20.48,0.0,7.0,79.41,80.0,1.0
2021-04-30 06:00:00,2.5,54.09,483.79,7.0,41.17,20.38,3.09,7.0,78.97,79.56,1.0
2021-04-30 07:00:00,2.41,53.55,465.28,7.0,40.65,20.31,0.0,7.0,77.66,78.24,1.0
2021-04-30 08:00:00,2.47,52.76,465.19,7.0,39.89,20.21,3.83,7.0,76.47,77.05,1.0
2021-04-30 09:00:00,2.51,52.82,465.94,7.0,40.75,20.33,59.2,7.0,76.17,76.7,1.0
2021-04-30 10:00:00,2.51,52.85,466.13,7.0,40.83,20.36,75.99,7.0,76.17,76.71,1.0
