date,TNS_1_DEVICE_3_TEMP_P4_M1,TNS_1_DEVICE_3_TEMP_P4_M2,TNS_1_DEVICE_3_CURR_P4,TNS_1_DEVICE_3_TEMP_P4_M3,TNS_1_DEVICE_3_PT4_P4_1,TNS_1_DEVICE_3_TEMP_P4_B1,TNS_1_DEVICE_3_TEMP_P4_B2,TNS_1_DEVICE_3_VT1_P4_2,TNS_1_DEVICE_3_STATE_P4,TNS_1_DEVICE_3_PT1_P4_2,TNS_1_DEVICE_3_TT1_P4_2
2021-04-28 14:00:00,24.24,26.02,0.0,25.38,0.0,31.5,27.76,1.08,0.0,0.0,18.61
2021-04-28 15:00:00,24.91,26.66,0.0,25.94,0.0,32.12,28.31,1.08,0.0,2152689700000000.0,19.84
2021-04-28 16:00:00,25.76,27.46,0.0,26.66,0.0,32.88,28.97,1.08,0.0,2658798400000000.0,19.14
2021-04-28 17:00:00,26.4,28.11,0.0,27.27,0.0,33.45,29.52,1.08,0.0,1065235.0,20.23
2021-04-28 18:00:00,26.97,28.69,0.0,27.9,0.0,33.99,29.98,1.08,0.0,-177821.08,19.4
2021-04-28 19:00:00,27.46,29.19,0.0,28.36,0.0,34.4,30.33,1.08,0.0,0.0,19.78
2021-04-28 20:00:00,27.79,29.49,0.0,28.79,0.0,34.58,30.58,1.08,0.0,0.0,19.34
2021-04-28 21:00:00,28.18,29.59,0.0,29.05,0.0,34.44,30.38,1.08,0.0,0.0,19.22
2021-04-28 22:00:00,28.05,29.64,0.0,29.14,0.0,34.13,30.2,1.08,0.0,0.0,19.06
2021-04-28 23:00:00,27.92,29.47,0.0,28.83,0.0,33.76,29.94,1.09,0.0,-2666485000000000.0,19.2
2021-04-29 00:00:00,27.65,29.2,0.0,28.65,0.0,33.29,29.54,1.09,0.0,0.0,18.87
2021-04-29 01:00:00,27.32,28.8,0.0,28.28,0.0,32.75,29.11,1.09,0.0,2640530300000000.0,18.8
2021-04-29 02:00:00,26.87,28.27,0.0,27.84,0.0,32.18,28.61,1.09,0.0,0.0,18.29
2021-04-29 03:00:00,26.41,27.74,0.0,27.25,0.0,31.64,28.07,1.09,0.0,0.0,18.09
2021-04-29 04:00:00,25.82,27.18,0.0,26.85,0.0,31.02,27.63,1.09,0.0,0.0,17.89
2021-04-29 05:00:00,25.36,26.62,0.0,26.3,0.0,30.52,27.06,1.09,0.0,0.0,17.72
2021-04-29 06:00:00,24.78,26.11,0.0,25.78,0.0,29.9,26.57,1.09,0.0,-2668027800000000.0,17.83
2021-04-29 07:00:00,24.24,25.52,0.0,25.24,0.0,29.39,26.06,1.09,0.0,-222780620.0,17.97
2021-04-29 08:00:00,23.77,25.1,0.0,24.81,0.0,29.22,26.0,1.09,0.0,-1929406100000000.0,17.95
2021-04-29 09:00:00,23.57,24.83,0.0,24.7,0.0,29.28,25.94,1.09,0.0,2682772700000000.0,18.54
2021-04-29 10:00:00,23.64,25.1,0.0,24.63,0.0,29.65,26.27,1.09,0.0,0.0,18.03
2021-04-29 11:00:00,23.96,25.46,0.0,24.94,0.0,30.33,26.87,1.09,0.0,0.0,18.17
2021-04-29 12:00:00,24.51,25.97,0.0,25.41,0.0,31.13,27.63,1.08,0.0,0.0,18.32
2021-04-29 13:00:00,25.21,26.71,0.0,26.07,0.0,32.02,28.54,1.08,0.0,0.0,18.66
2021-04-29 14:00:00,25.98,27.57,0.0,26.86,0.0,33.01,29.38,1.08,0.0,-179258.84,19.13
2021-04-29 15:00:00,26.83,28.44,0.0,27.65,0.0,33.88,30.13,1.08,0.0,0.0,19.17
2021-04-29 16:00:00,27.64,29.15,0.0,28.35,0.0,34.36,30.67,1.08,0.0,0.0,19.61
2021-04-29 17:00:00,28.17,29.69,0.0,28.94,0.0,35.04,31.14,1.08,0.0,0.0,19.81
